TPJOJ.2.4                  : Data Processing Version ID
000314 Victoria_1          : Target database id number and name
 -0.690  33.560            : Latitude and longitude (degrees East) of target mid-point
 -0.019  -1.335            : Latitude range of pass traversing target at which data is accepted
120      60                : Satellite pass and revolution number designation
          1                : Reference pass derived from Jason-2 cycle #
          1                : Reference pass tracker selection (ocean=0, ice=1)
Column 1: Calendar year/month/day
Column 2: Hour of day
Column 3: Minute of hour
Column 4: Smoothed target height variation with respect to Jason-2 reference pass level (meters, default=999.99)
Column 5: Smoothed target height variation in EGM2008 datum (meters above mean sea level, default=9999.99)
19990315 17 44      1.04   1136.16
19990325 15 43      1.08   1136.20
19990404 13 42      1.13   1136.25
19990414 11 40      1.19   1136.31
19990424  9 39      1.24   1136.36
19990504  7 37      1.27   1136.39
19990514  5 36      1.28   1136.40
19990524  3 34      1.27   1136.39
19990603  1 33      1.23   1136.35
19990612 23 31      1.18   1136.30
19990622 21 30      1.13   1136.25
19990702 19 28      1.08   1136.20
19990712 17 27      1.04   1136.16
19990722 15 25      0.99   1136.11
19990801 13 24      0.95   1136.07
19990811 11 22      0.92   1136.04
19990821  9 21      0.89   1136.01
99999999 99 99    999.99   9999.99
19990910  5 18      0.87   1135.98
19990920  3 16      0.84   1135.96
19990930  1 15      0.83   1135.95
19991009 23 13      0.82   1135.94
19991019 21 12      0.82   1135.94
19991029 19 11      0.83   1135.94
19991108 17  9      0.86   1135.97
19991118 15  8      0.88   1136.00
19991128 13  6    999.99   9999.99
19991208 11  5      0.90   1136.02
19991218  9  3      0.92   1136.04
19991228  7  2      0.93   1136.05
20000107  5  0      0.92   1136.04
20000117  2 59      0.91   1136.03
20000127  0 57      0.90   1136.02
20000205 22 56      0.87   1135.99
20000215 20 54      0.84   1135.96
20000225 18 53      0.81   1135.93
20000306 16 51      0.78   1135.90
20000316 14 50      0.76   1135.88
20000326 12 48      0.75   1135.87
20000405 10 47      0.76   1135.88
20000415  8 45      0.76   1135.88
20000425  6 44      0.77   1135.89
20000505  4 43      0.77   1135.89
20000515  2 41      0.75   1135.87
20000525  0 40    999.99   9999.99
20000603 22 38      0.72   1135.84
20000613 20 37      0.68   1135.80
20000623 18 35      0.63   1135.75
20000703 16 34      0.58   1135.70
20000713 14 32      0.55   1135.67
20000723 12 31      0.51   1135.63
20000802 10 29      0.47   1135.59
20000812  8 28      0.43   1135.55
20000822  6 26      0.40   1135.52
20000901  4 25      0.36   1135.48
20000911  2 23      0.32   1135.44
20000921  0 22      0.29   1135.41
